movie_id,title,genres,keywords,overview,release_year,vote_average,combined_content,processed_content
1,Inception,Action Science Fiction Thriller,dream subconscious heist mind bending,A skilled thief enters dreams to steal secrets but is offered a chance to erase his past by planting an idea.,2010,8.8,Action Science Fiction Thriller Action Science Fiction Thriller Action Science Fiction Thriller dream subconscious heist mind bending dream subconscious heist mind bending A skilled thief enters dreams to steal secrets but is offered a chance to erase his past by planting an idea.,action science fiction thriller action science fiction thriller action science fiction thriller dream subconscious heist mind bending dream subconscious heist mind bending skilled thief enters dreams steal secrets but offered chance erase his past planting idea
2,Interstellar,Adventure Drama Science Fiction,space wormhole survival family time,A team travels through a wormhole searching for a new home for humanity while one father fights to return to his daughter.,2014,8.7,Adventure Drama Science Fiction Adventure Drama Science Fiction Adventure Drama Science Fiction space wormhole survival family time space wormhole survival family time A team travels through a wormhole searching for a new home for humanity while one father fights to return to his daughter.,adventure drama science fiction adventure drama science fiction adventure drama science fiction space wormhole survival family time space wormhole survival family time team travels through wormhole searching new home humanity one father fights return his daughter
3,The Dark Knight,Action Crime Drama,joker vigilante chaos gotham hero,Batman faces a criminal mastermind whose chaos forces Gotham and its hero to confront moral limits.,2008,9.0,Action Crime Drama Action Crime Drama Action Crime Drama joker vigilante chaos gotham hero joker vigilante chaos gotham hero Batman faces a criminal mastermind whose chaos forces Gotham and its hero to confront moral limits.,action crime drama action crime drama action crime drama joker vigilante chaos gotham hero joker vigilante chaos gotham hero batman faces criminal mastermind whose chaos forces gotham hero confront moral limits
4,The Matrix,Action Science Fiction,simulation chosen one rebellion cyberpunk,A hacker discovers reality is a simulated prison and joins rebels fighting intelligent machines.,1999,8.7,Action Science Fiction Action Science Fiction Action Science Fiction simulation chosen one rebellion cyberpunk simulation chosen one rebellion cyberpunk A hacker discovers reality is a simulated prison and joins rebels fighting intelligent machines.,action science fiction action science fiction action science fiction simulation chosen one rebellion cyberpunk simulation chosen one rebellion cyberpunk hacker discovers reality simulated prison joins rebels fighting intelligent machines
5,Avatar,Action Adventure Fantasy Science Fiction,alien planet ecology marine native,A marine on an alien moon becomes torn between military orders and protecting a native civilization.,2009,7.9,Action Adventure Fantasy Science Fiction Action Adventure Fantasy Science Fiction Action Adventure Fantasy Science Fiction alien planet ecology marine native alien planet ecology marine native A marine on an alien moon becomes torn between military orders and protecting a native civilization.,action adventure fantasy science fiction action adventure fantasy science fiction action adventure fantasy science fiction alien planet ecology marine native alien planet ecology marine native marine alien moon becomes torn between military orders protecting native civilization
6,The Lord of the Rings: The Fellowship of the Ring,Adventure Fantasy Drama,ring quest friendship middle earth evil,A young hobbit begins a dangerous quest to destroy a powerful ring before darkness conquers Middle-earth.,2001,8.8,Adventure Fantasy Drama Adventure Fantasy Drama Adventure Fantasy Drama ring quest friendship middle earth evil ring quest friendship middle earth evil A young hobbit begins a dangerous quest to destroy a powerful ring before darkness conquers Middle-earth.,adventure fantasy drama adventure fantasy drama adventure fantasy drama ring quest friendship middle earth evil ring quest friendship middle earth evil young hobbit begins dangerous quest destroy powerful ring before darkness conquers middle earth
7,The Lord of the Rings: The Return of the King,Adventure Fantasy Drama,king ring war friendship destiny,The final battle for Middle-earth begins as a hobbit carries the ring toward destruction.,2003,9.0,Adventure Fantasy Drama Adventure Fantasy Drama Adventure Fantasy Drama king ring war friendship destiny king ring war friendship destiny The final battle for Middle-earth begins as a hobbit carries the ring toward destruction.,adventure fantasy drama adventure fantasy drama adventure fantasy drama king ring war friendship destiny king ring war friendship destiny final battle middle earth begins hobbit carries ring toward destruction
8,Harry Potter and the Sorcerer's Stone,Adventure Fantasy Family,magic school wizard friendship prophecy,An orphan discovers he is a wizard and enters a magical school filled with friendship and danger.,2001,7.6,Adventure Fantasy Family Adventure Fantasy Family Adventure Fantasy Family magic school wizard friendship prophecy magic school wizard friendship prophecy An orphan discovers he is a wizard and enters a magical school filled with friendship and danger.,adventure fantasy family adventure fantasy family adventure fantasy family magic school wizard friendship prophecy magic school wizard friendship prophecy orphan discovers wizard enters magical school filled friendship danger
9,The Avengers,Action Adventure Science Fiction,superhero team alien invasion marvel,Earth's heroes unite to stop an alien invasion led by a vengeful god.,2012,8.0,Action Adventure Science Fiction Action Adventure Science Fiction Action Adventure Science Fiction superhero team alien invasion marvel superhero team alien invasion marvel Earth's heroes unite to stop an alien invasion led by a vengeful god.,action adventure science fiction action adventure science fiction action adventure science fiction superhero team alien invasion marvel superhero team alien invasion marvel earth s heroes unite stop alien invasion led vengeful god
10,Iron Man,Action Adventure Science Fiction,superhero technology billionaire armor,A billionaire engineer builds a powerful armored suit and becomes a hero after surviving captivity.,2008,7.9,Action Adventure Science Fiction Action Adventure Science Fiction Action Adventure Science Fiction superhero technology billionaire armor superhero technology billionaire armor A billionaire engineer builds a powerful armored suit and becomes a hero after surviving captivity.,action adventure science fiction action adventure science fiction action adventure science fiction superhero technology billionaire armor superhero technology billionaire armor billionaire engineer builds powerful armored suit becomes hero after surviving captivity
11,Guardians of the Galaxy,Action Adventure Comedy Science Fiction,space outlaws team music galaxy,A group of misfit space criminals join forces to stop a cosmic villain.,2014,8.0,Action Adventure Comedy Science Fiction Action Adventure Comedy Science Fiction Action Adventure Comedy Science Fiction space outlaws team music galaxy space outlaws team music galaxy A group of misfit space criminals join forces to stop a cosmic villain.,action adventure comedy science fiction action adventure comedy science fiction action adventure comedy science fiction space outlaws team music galaxy space outlaws team music galaxy group misfit space criminals join forces stop cosmic villain
12,Star Wars: A New Hope,Action Adventure Fantasy Science Fiction,space rebellion jedi empire destiny,A farm boy joins a rebellion and learns the ways of a mystical force to fight an empire.,1977,8.6,Action Adventure Fantasy Science Fiction Action Adventure Fantasy Science Fiction Action Adventure Fantasy Science Fiction space rebellion jedi empire destiny space rebellion jedi empire destiny A farm boy joins a rebellion and learns the ways of a mystical force to fight an empire.,action adventure fantasy science fiction action adventure fantasy science fiction action adventure fantasy science fiction space rebellion jedi empire destiny space rebellion jedi empire destiny farm boy joins rebellion learns ways mystical force fight empire
13,Star Wars: The Empire Strikes Back,Action Adventure Fantasy Science Fiction,space empire jedi training betrayal,Rebels flee imperial forces while a young hero trains and faces a shocking truth.,1980,8.7,Action Adventure Fantasy Science Fiction Action Adventure Fantasy Science Fiction Action Adventure Fantasy Science Fiction space empire jedi training betrayal space empire jedi training betrayal Rebels flee imperial forces while a young hero trains and faces a shocking truth.,action adventure fantasy science fiction action adventure fantasy science fiction action adventure fantasy science fiction space empire jedi training betrayal space empire jedi training betrayal rebels flee imperial forces young hero trains faces shocking truth
14,Jurassic Park,Adventure Science Fiction Thriller,dinosaurs island science survival,Visitors to a dinosaur theme park must survive when the cloned creatures break free.,1993,8.2,Adventure Science Fiction Thriller Adventure Science Fiction Thriller Adventure Science Fiction Thriller dinosaurs island science survival dinosaurs island science survival Visitors to a dinosaur theme park must survive when the cloned creatures break free.,adventure science fiction thriller adventure science fiction thriller adventure science fiction thriller dinosaurs island science survival dinosaurs island science survival visitors dinosaur theme park must survive when cloned creatures break free
15,Toy Story,Animation Adventure Comedy Family,toys friendship jealousy childhood,A cowboy doll feels threatened when a flashy space toy becomes a child's new favorite.,1995,8.3,Animation Adventure Comedy Family Animation Adventure Comedy Family Animation Adventure Comedy Family toys friendship jealousy childhood toys friendship jealousy childhood A cowboy doll feels threatened when a flashy space toy becomes a child's new favorite.,animation adventure comedy family animation adventure comedy family animation adventure comedy family toys friendship jealousy childhood toys friendship jealousy childhood cowboy doll feels threatened when flashy space toy becomes child s new favorite
